Название препарата;Количество;Отделение
Но-шпа таблетки 40 мг, 24 шт.;200;Наркологическое
2-Acetoxybenzoic acid;2000;Травматологическое
Яд2-Acetoxybenzoic acid;5;Травматологическое
2-бром-ЛСД;15;Хирургическое
Аванафил;10;Хирургическое
Аллертек;110;Морг
Аскорбиновая кислота;14;Морг
Аскорбиновая кислота 15 мг;35;Кардиологическое
Железа хлорид;300;Кардиологическое
Занифед;6000;Родильное
Зантак;675;Неврологическое
Зеленина капли;12;Наркологическое
Имигран;6;Родильное
Имигран 15 шт;3;Неврологическое
Калия и магния аспарагинат;62;Травматологическое
Карниланд;88;Терапевтическое
Кетоф;89;Терапевтическое
